"","Rank","Song","Artist","Year"
"6094","94","Pussy Fairy (OTW)","Jhen<U+00E9> Aikoand","2020"
"6095","95","ILY (I Love You Baby)","Surf Mesa featuring Emileeand","2020"
"6096","96","More Than My Hometown","Morgan Wallenand","2020"
"6097","97","Lovin' on You","Luke Combsand","2020"
"6098","98","Said Sum","Moneybagg Yoand","2020"
"6099","99","Slide","H.E.R. featuring YGand","2020"
"6100","100","Walk Em Down","NLE Choppa featuring Roddy Ricchand","2020"
"6101","1","","""Levitating""andDua Lipaand","2021"
"6102","2","","""Save Your Tears""andThe Weeknd and Ariana Grandeand","2021"
"6103","3","","""Blinding Lights""andThe Weekndand","2021"
"6104","4","","""Mood""and24kGoldn featuring Iann Diorand","2021"
"6105","5","","""Good 4 U""andOlivia Rodrigoand","2021"
"6106","6","","""Kiss Me More""andDoja Cat featuring SZAand","2021"
"6107","7","","""Leave the Door Open""andSilk Sonic (Bruno Mars and Anderson .Paak)and","2021"
"6108","8","","""Drivers License""andOlivia Rodrigoand","2021"
"6109","9","","""Montero (Call Me by Your Name)""andLil Nas Xand","2021"
"6110","10","","""Peaches""andJustin Bieber featuring Daniel Caesar and Giveonand","2021"
"6111","11","","""Butter""andBTSand","2021"
"6112","12","","""Stay""andThe Kid Laroi and Justin Bieberand","2021"
"6113","13","","""Deja Vu""andOlivia Rodrigoand","2021"
"6114","14","","""Positions""andAriana Grandeand","2021"
"6115","15","","""Bad Habits""andEd Sheeranand","2021"
"6116","16","","""Heat Waves""andGlass Animalsand","2021"
"6117","17","","""Without You""andThe Kid Laroiand","2021"
"6118","18","","""Forever After All""andLuke Combsand","2021"
"6119","19","","""Go Crazy""andChris Brown and Young Thugand","2021"
"6120","20","","""Astronaut in the Ocean""andMasked Wolfand","2021"
"6121","21","","""34+35""andAriana Grande featuring Doja Cat and Megan Thee Stallionand","2021"
"6122","22","","""What You Know Bout Love""andPop Smokeand","2021"
"6123","23","","""My Ex's Best Friend""andMachine Gun Kelly featuring Blackbearand","2021"
"6124","24","","""Industry Baby""andLil Nas X and Jack Harlowand","2021"
"6125","25","","""Therefore I Am""andBillie Eilishand","2021"
"6126","26","","""Up""andCardi Band","2021"
"6127","27","","""Fancy Like""andWalker Hayesand","2021"
"6128","28","","""Dakiti""andBad Bunny and Jhay Cortezand","2021"
"6129","29","","""Best Friend""andSaweetie featuring Doja Catand","2021"
"6130","30","","""Rapstar""andPolo Gand","2021"
"6131","31","","""Heartbreak Anniversary""andGiveonand","2021"
"6132","32","","""For the Night""andPop Smoke featuring Lil Baby and DaBabyand","2021"
"6133","33","","""Calling My Phone""andLil Tjay and 6lackand","2021"
"6134","34","","""Beautiful Mistakes""andMaroon 5 featuring Megan Thee Stallionand","2021"
"6135","35","","""Holy""andJustin Bieber featuring Chance the Rapperand","2021"
"6136","36","","""On Me""andLil Babyand","2021"
"6137","37","","""You Broke Me First""andTate McRaeand","2021"
"6138","38","","""Traitor""andOlivia Rodrigoand","2021"
"6139","39","","""Back in Blood""andPooh Shiesty featuring Lil Durkand","2021"
"6140","40","","""I Hope""andGabby Barrett featuring Charlie Puthand","2021"
"6141","41","","""Dynamite""andBTSand","2021"
"6142","42","","""Wockesha""andMoneybagg Yoand","2021"
"6143","43","","""You Right""andDoja Cat and the Weekndand","2021"
"6144","44","","""Beat Box 2"" / ""Beat Box 3""andSpotemGottem featuring Pooh Shiesty / SpotemGottem featuring DaBabyand","2021"
"6145","45","","""Laugh Now Cry Later""andDrake featuring Lil Durkand","2021"
"6146","46","","""Need to Know""andDoja Catand","2021"
"6147","47","","""Wants and Needs""andDrake featuring Lil Babyand","2021"
"6148","48","","""Way 2 Sexy""andDrake featuring Future and Young Thugand","2021"
"6149","49","","""Telepat<U+00ED>a""andKali Uchisand","2021"
"6150","50","","""Whoopty""andCJand","2021"
"6151","51","","""Lemonade""andInternet Money and Gunna featuring Don Toliver and Navand","2021"
"6152","52","","""Good Days""andSZAand","2021"
"6153","53","","""Starting Over""andChris Stapletonand","2021"
"6154","54","","""Body""andMegan Thee Stallionand","2021"
"6155","55","","""Willow""andTaylor Swiftand","2021"
"6156","56","","""Bang!""andAJRand","2021"
"6157","57","","""Better Together""andLuke Combsand","2021"
"6158","58","","""You're Mines Still""andYung Bleu featuring Drakeand","2021"
"6159","59","","""Every Chance I Get""andDJ Khaled featuring Lil Baby and Lil Durkand","2021"
"6160","60","","""Essence""andWizkid featuring Justin Bieber and Temsand","2021"
"6161","61","","""Chasing After You""andRyan Hurd and Maren Morrisand","2021"
"6162","62","","""The Good Ones""andGabby Barrettand","2021"
"6163","63","","""Leave Before You Love Me""andMarshmello and Jonas Brothersand","2021"
"6164","64","","""Glad You Exist""andDan + Shayand","2021"
"6165","65","","""Lonely""andJustin Bieber and Benny Blancoand","2021"
"6166","66","","""Beggin'""andM<U+00E5>neskinand","2021"
"6167","67","","""Streets""andDoja Catand","2021"
"6168","68","","""What's Next""andDrakeand","2021"
"6169","69","","""Famous Friends""andChris Young and Kane Brownand","2021"
"6170","70","","""Lil Bit""andNelly and Florida Georgia Lineand","2021"
"6171","71","","""Thot Shit""andMegan Thee Stallionand","2021"
"6172","72","","""Late at Night""andRoddy Ricchand","2021"
"6173","73","","""Kings and Queens""andAva Maxand","2021"
"6174","74","","""Anyone""andJustin Bieberand","2021"
"6175","75","","""Track Star""andMooskiand","2021"
"6176","76","","""Time Today""andMoneybagg Yoand","2021"
"6177","77","","""Cry Baby""andMegan Thee Stallion featuring DaBabyand","2021"
"6178","78","","""All I Want for Christmas Is You""andMariah Careyand","2021"
"6179","79","","""No More Parties""andCoi Leray featuring Lil Durkand","2021"
"6180","80","","""What's Your Country Song""andThomas Rhettand","2021"
"6181","81","","""One Too Many""andKeith Urban and Pinkand","2021"
"6182","82","","""Arcade""andDuncan Laurenceand","2021"
"6183","83","","""Yonaguni""andBad Bunnyand","2021"
"6184","84","","""Good Time""andNiko Moonand","2021"
"6185","85","","""If I Didn't Love You""andJason Aldean and Carrie Underwoodand","2021"
"6186","86","","""Knife Talk""andDrake featuring 21 Savage and Project Patand","2021"
"6187","87","","""POV""andAriana Grandeand","2021"
"6188","88","","""Just the Way""andParmalee and Blanco Brownand","2021"
"6189","89","","""Take My Breath""andThe Weekndand","2021"
"6190","90","","""We're Good""andDua Lipaand","2021"
"6191","91","","""Hell of a View""andEric Churchand","2021"
"6192","92","","""Rockin' Around the Christmas Tree""andBrenda Leeand","2021"
"6193","93","","""Put Your Records On""andRitt Momneyand","2021"
"6194","94","","""Happier Than Ever""andBillie Eilishand","2021"
"6195","95","","""Single Saturday Night""andCole Swindelland","2021"
"6196","96","","""Things a Man Oughta Know""andLainey Wilsonand","2021"
"6197","97","","""Throat Baby (Go Baby)""andBRS Kashand","2021"
"6198","98","","""Tombstone""andRod Waveand","2021"
"6199","99","","""Drinkin' Beer. Talkin' God. Amen.""andChase Rice featuring Florida Georgia Lineand","2021"
"6200","100","","""Todo de Ti""andRauw Alejandroand","2021"
"6201","1","","""Heat Waves""andGlass Animalsand","2022"
"6202","2","","""As It Was""andHarry Stylesand","2022"
"6203","3","","""Stay""andThe Kid Laroi and Justin Bieberand","2022"
"6204","4","","""Easy on Me""andAdeleand","2022"
"6205","5","","""Shivers""andEd Sheeranand","2022"
"6206","6","","""First Class""andJack Harlowand","2022"
"6207","7","","""Big Energy""andLattoand","2022"
"6208","8","","""Ghost""andJustin Bieberand","2022"
"6209","9","","""Super Gremlin""andKodak Blackand","2022"
"6210","10","","""Cold Heart (Pnau Remix)""andElton John and Dua Lipaand","2022"
"6211","11","","""Wait for U""andFuture featuring Drake and Temsand","2022"
"6212","12","","""About Damn Time""andLizzoand","2022"
"6213","13","","""Bad Habits""andEd Sheeranand","2022"
"6214","14","","""Thats What I Want""andLil Nas Xand","2022"
"6215","15","","""Enemy""andImagine Dragons and JIDand","2022"
"6216","16","","""Industry Baby""andLil Nas X and Jack Harlowand","2022"
"6217","17","","""ABCDEFU""andGayleand","2022"
"6218","18","","""Need to Know""andDoja Catand","2022"
"6219","19","","""Wasted on You""andMorgan Wallenand","2022"
"6220","20","","""Me Porto Bonito""andBad Bunny and Chencho Corleoneand","2022"
"6221","21","","""Woman""andDoja Catand","2022"
"6222","22","","""Tit<U+00ED> Me Pregunt<U+00F3>""andBad Bunnyand","2022"
"6223","23","","""Running Up That Hill (A Deal with God)""andKate Bushand","2022"
"6224","24","","""We Don't Talk About Bruno""andCarolina Gait<U+00E1>n, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto castand","2022"
"6225","25","","""Late Night Talking""andHarry Stylesand","2022"
"6226","26","","""I Like You (A Happier Song)""andPost Malone featuring Doja Catand","2022"
"6227","27","","""You Proof""andMorgan Wallenand","2022"
"6228","28","","""Bad Habit""andSteve Lacyand","2022"
"6229","29","","""Sunroof""andNicky Youre and Dazyand","2022"
"6230","30","","""One Right Now""andPost Malone and the Weekndand","2022"
"6231","31","","""Good 4 U""andOlivia Rodrigoand","2022"
"6232","32","","""Numb Little Bug""andEm Beiholdand","2022"
"6233","33","","""Jimmy Cooks""andDrake featuring 21 Savageand","2022"
"6234","34","","""'Til You Can't""andCody Johnsonand","2022"
"6235","35","","""Fancy Like""andWalker Hayesand","2022"
"6236","36","","""The Kind of Love We Make""andLuke Combsand","2022"
"6237","37","","""I Ain't Worried""andOneRepublicand","2022"
"6238","38","","""Break My Soul""andBeyonc<U+00E9>and","2022"
"6239","39","","""Something in the Orange""andZach Bryanand","2022"
"6240","40","","""Save Your Tears""andThe Weeknd and Ariana Grandeand","2022"
"6241","41","","""Smokin out the Window""andSilk Sonic (Bruno Mars and Anderson .Paak)and","2022"
"6242","42","","""Levitating""andDua Lipaand","2022"
"6243","43","","""In a Minute""andLil Babyand","2022"
"6244","44","","""Moscow Mule""andBad Bunnyand","2022"
"6245","45","","""You Right""andDoja Cat and the Weekndand","2022"
"6246","46","","""She Had Me at Heads Carolina""andCole Swindelland","2022"
"6247","47","","""Vegas""andDoja Catand","2022"
"6248","48","","""Pushin P""andGunna and Future featuring Young Thugand","2022"
"6249","49","","""Buy Dirt""andJordan Davis and Luke Bryanand","2022"
"6250","50","","""I Hate U""andSZAand","2022"
"6251","51","","""Boyfriend""andDove Cameronand","2022"
"6252","52","","""Glimpse of Us""andJojiand","2022"
"6253","53","","""Surface Pressure""andJessica Darrowand","2022"
"6254","54","","""Fall in Love""andBailey Zimmermanand","2022"
"6255","55","","""Love Nwantiti (Ah Ah Ah)""andCKayand","2022"
"6256","56","","""Super Freaky Girl""andNicki Minajand","2022"
"6257","57","","""Hrs and Hrs""andMuni Longand","2022"
"6258","58","","""Sand in My Boots""andMorgan Wallenand","2022"
"6259","59","","""Mamiii""andBecky G and Karol Gand","2022"
"6260","60","","""Knife Talk""andDrake featuring 21 Savage and Project Patand","2022"
"6261","61","","""AA""andWalker Hayesand","2022"
"6262","62","","""Sweetest Pie""andMegan Thee Stallion and Dua Lipaand","2022"
"6263","63","","""Provenza""andKarol Gand","2022"
"6264","64","","""Essence""andWizkid featuring Justin Bieber and Temsand","2022"
"6265","65","","""All I Want for Christmas Is You""andMariah Careyand","2022"
"6266","66","","""Bam Bam""andCamila Cabello featuring Ed Sheeranand","2022"
"6267","67","","""5 Foot 9""andTyler Hubbardand","2022"
"6268","68","","""Get Into It (Yuh)""andDoja Catand","2022"
"6269","69","","""Efecto""andBad Bunnyand","2022"
"6270","70","","""Rock and a Hard Place""andBailey Zimmermanand","2022"
"6271","71","","""Doin' This""andLuke Combsand","2022"
"6272","72","","""Oh My God""andAdeleand","2022"
"6273","73","","""Better Days""andNeiked, Mae Muller and Polo Gand","2022"
"6274","74","","""Meet Me at Our Spot""andThe Anxiety: Willow and Tyler Coleand","2022"
"6275","75","","""Fingers Crossed""andLauren Spencer-Smithand","2022"
"6276","76","","""All Too Well (Taylor's Version)""andTaylor Swiftand","2022"
"6277","77","","""Party""andBad Bunny and Rauw Alejandroand","2022"
"6278","78","","""Despu<U+00E9>s de la Playa""andBad Bunnyand","2022"
"6279","79","","""You Should Probably Leave""andChris Stapletonand","2022"
"6280","80","","""Rockin' Around the Christmas Tree""andBrenda Leeand","2022"
"6281","81","","""Broadway Girls""andLil Durk featuring Morgan Wallenand","2022"
"6282","82","","""Take My Name""andParmaleeand","2022"
"6283","83","","""What Happened to Virgil""andLil Durk featuring Gunnaand","2022"
"6284","84","","""Puffin on Zootiez""andFutureand","2022"
"6285","85","","""Like I Love Country Music""andKane Brownand","2022"
"6286","86","","""Jingle Bell Rock""andBobby Helmsand","2022"
"6287","87","","""Ojitos Lindos""andBad Bunny and Bomba Est<U+00E9>reoand","2022"
"6288","88","","""Trouble with a Heartbreak""andJason Aldeanand","2022"
"6289","89","","""A Holly Jolly Christmas""andBurl Ivesand","2022"
"6290","90","","""Kiss Me More""andDoja Cat featuring SZAand","2022"
"6291","91","","""She Likes It""andRussell Dickerson featuring Jake Scottand","2022"
"6292","92","","""Never Say Never""andCole Swindell and Lainey Wilsonand","2022"
"6293","93","","""Damn Strait""andScotty McCreeryand","2022"
"6294","94","","""She's All I Wanna Be""andTate McRaeand","2022"
"6295","95","","""Last Night Lonely""andJon Pardiand","2022"
"6296","96","","""Flower Shops""andErnest featuring Morgan Wallenand","2022"
"6297","97","","""To the Moon""andJnr Choi and Sam Tompkinsand","2022"
"6298","98","","""Unholy""andSam Smith and Kim Petrasand","2022"
"6299","99","","""One Mississippi""andKane Brownand","2022"
"6300","100","","""Circles Around This Town""andMaren Morrisand","2022"
"6301","1","","""Last Night""andMorgan Wallenand","2023"
"6302","2","","""Flowers""andMiley Cyrusand","2023"
"6303","3","","""Kill Bill""andSZAand","2023"
"6304","4","","""Anti-Hero""andTaylor Swiftand","2023"
"6305","5","","""Creepin'""andMetro Boomin, the Weeknd and 21 Savageand","2023"
"6306","6","","""Calm Down""andRema and Selena Gomezand","2023"
"6307","7","","""Die for You""andThe Weeknd and Ariana Grandeand","2023"
"6308","8","","""Fast Car""andLuke Combsand","2023"
"6309","9","","""Snooze""andSZAand","2023"
"6310","10","","""I'm Good (Blue)""andDavid Guetta and Bebe Rexhaand","2023"
"6311","11","","""Unholy""andSam Smith and Kim Petrasand","2023"
"6312","12","","""You Proof""andMorgan Wallenand","2023"
"6313","13","","""Something in the Orange""andZach Bryanand","2023"
"6314","14","","""Rich Flex""andDrake and 21 Savageand","2023"
"6315","15","","""As It Was""andHarry Stylesand","2023"
"6316","16","","""Rock and a Hard Place""andBailey Zimmermanand","2023"
"6317","17","","""Under the Influence""andChris Brownand","2023"
"6318","18","","""Cruel Summer""andTaylor Swiftand","2023"
"6319","19","","""Thinkin' Bout Me""andMorgan Wallenand","2023"
"6320","20","","""Boy's a Liar Pt. 2""andPinkPantheress and Ice Spiceand","2023"
"6321","21","","""Favorite Song""andToosiiand","2023"
"6322","22","","""Thought You Should Know""andMorgan Wallenand","2023"
"6323","23","","""Thank God""andKane Brown and Katelyn Brownand","2023"
"6324","24","","""Sure Thing""andMigueland","2023"
"6325","25","","""All My Life""andLil Durk featuring J. Coleand","2023"
"6326","26","","""Ella Baila Sola""andEslabon Armado and Peso Plumaand","2023"
"6327","27","","""Karma""andTaylor Swift featuring Ice Spiceand","2023"
"6328","28","","""Just Wanna Rock""andLil Uzi Vertand","2023"
"6329","29","","""Cuff It""andBeyonc<U+00E9>and","2023"
"6330","30","","""Vampire""andOlivia Rodrigoand","2023"
"6331","31","","""FukUMean""andGunnaand","2023"
"6332","32","","""Lavender Haze""andTaylor Swiftand","2023"
"6333","33","","""Players""andCoi Lerayand","2023"
"6334","34","","""Need a Favor""andJelly Rolland","2023"
"6335","35","","""Dance the Night""andDua Lipaand","2023"
"6336","36","","""Love You Anyway""andLuke Combsand","2023"
"6337","37","","""One Thing at a Time""andMorgan Wallenand","2023"
"6338","38","","""Superhero (Heroes and Villains)""andMetro Boomin, Future and Chris Brownand","2023"
"6339","39","","""Bad Habit""andSteve Lacyand","2023"
"6340","40","","""La Beb<U+00E9>""andYng Lvcas and Peso Plumaand","2023"
"6341","41","","""Golden Hour""andJvkeand","2023"
"6342","42","","""Religiously""andBailey Zimmermanand","2023"
"6343","43","","""Spin Bout U""andDrake and 21 Savageand","2023"
"6344","44","","""Cupid""andFifty Fiftyand","2023"
"6345","45","","""Search and Rescue""andDrakeand","2023"
"6346","46","","""Barbie World""andNicki Minaj and Ice Spice with Aquaand","2023"
"6347","47","","""Next Thing You Know""andJordan Davisand","2023"
"6348","48","","""Escapism""andRaye featuring 070 Shakeand","2023"
